name	type	id	expiration_type	expiration_custom_days	allocation_type	description	enabled	merchandising_syntax	report_suite
Session Hit Counter (V96)	text_string	evar96	page_view	1	most_recent_last	Increments on every Hit of a Session	TRUE		sirooplive
Session Pageview Counter (V97)	text_string	evar97	page_view	1	most_recent_last	Increments on every Pageview of a Session	TRUE		sirooplive
Tealium Version (V98) - discont. 5/29/17, now part of V99	text_string	evar98	page_view	1	most_recent_last		TRUE		sirooplive
Debug Information (V99)	text_string	evar99	page_view	1	most_recent_last	contains, separated by pipe: Tealium Version|Tealium environment|Report Suite ID|LocalStorage Support|sync_run (has the utag.sync.js tag run successfully?)|DLExt Available|Random Visitor percentage	TRUE		sirooplive
Siroop ID (Unique Customer ID, ucid) (V100) (copy of V30)	text_string	evar100	never	1	most_recent_last	Starting with resiroop (early 2018), this is the unique Customer Identifier. Copied into a separate eVar to avoid potential problems of previous of old values of V30 persisting here	TRUE		sirooplive
Custom eVar 101	text_string	evar101	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 102	text_string	evar102	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 103	text_string	evar103	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 104	text_string	evar104	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 105	text_string	evar105	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 106	text_string	evar106	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 107	text_string	evar107	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 108	text_string	evar108	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 109	text_string	evar109	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 110	text_string	evar110	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 111	text_string	evar111	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 112	text_string	evar112	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 113	text_string	evar113	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 114	text_string	evar114	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 115	text_string	evar115	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 116	text_string	evar116	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 117	text_string	evar117	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 118	text_string	evar118	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 119	text_string	evar119	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 120	text_string	evar120	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 121	text_string	evar121	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 122	text_string	evar122	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 123	text_string	evar123	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 124	text_string	evar124	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 125	text_string	evar125	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 126	text_string	evar126	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 127	text_string	evar127	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 128	text_string	evar128	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 129	text_string	evar129	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 130	text_string	evar130	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 131	text_string	evar131	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 132	text_string	evar132	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 133	text_string	evar133	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 134	text_string	evar134	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 135	text_string	evar135	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 136	text_string	evar136	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 137	text_string	evar137	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 138	text_string	evar138	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 139	text_string	evar139	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 140	text_string	evar140	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 141	text_string	evar141	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 142	text_string	evar142	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 143	text_string	evar143	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 144	text_string	evar144	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 145	text_string	evar145	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 146	text_string	evar146	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 147	text_string	evar147	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 148	text_string	evar148	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 149	text_string	evar149	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 150	text_string	evar150	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 151	text_string	evar151	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 152	text_string	evar152	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 153	text_string	evar153	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 154	text_string	evar154	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 155	text_string	evar155	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 156	text_string	evar156	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 157	text_string	evar157	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 158	text_string	evar158	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 159	text_string	evar159	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 160	text_string	evar160	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 161	text_string	evar161	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 162	text_string	evar162	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 163	text_string	evar163	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 164	text_string	evar164	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 165	text_string	evar165	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 166	text_string	evar166	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 167	text_string	evar167	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 168	text_string	evar168	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 169	text_string	evar169	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 170	text_string	evar170	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 171	text_string	evar171	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 172	text_string	evar172	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 173	text_string	evar173	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 174	text_string	evar174	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 175	text_string	evar175	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 176	text_string	evar176	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 177	text_string	evar177	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 178	text_string	evar178	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 179	text_string	evar179	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 180	text_string	evar180	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 181	text_string	evar181	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 182	text_string	evar182	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 183	text_string	evar183	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 184	text_string	evar184	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 185	text_string	evar185	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 186	text_string	evar186	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 187	text_string	evar187	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 188	text_string	evar188	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 189	text_string	evar189	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 190	text_string	evar190	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 191	text_string	evar191	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 192	text_string	evar192	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 193	text_string	evar193	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 194	text_string	evar194	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 195	text_string	evar195	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 196	text_string	evar196	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 197	text_string	evar197	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 198	text_string	evar198	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 199	text_string	evar199	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 200	text_string	evar200	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 201	text_string	evar201	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 202	text_string	evar202	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 203	text_string	evar203	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 204	text_string	evar204	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 205	text_string	evar205	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 206	text_string	evar206	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 207	text_string	evar207	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 208	text_string	evar208	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 209	text_string	evar209	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 210	text_string	evar210	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 211	text_string	evar211	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 212	text_string	evar212	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 213	text_string	evar213	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 214	text_string	evar214	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 215	text_string	evar215	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 216	text_string	evar216	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 217	text_string	evar217	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 218	text_string	evar218	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 219	text_string	evar219	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 220	text_string	evar220	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 221	text_string	evar221	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 222	text_string	evar222	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 223	text_string	evar223	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 224	text_string	evar224	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 225	text_string	evar225	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 226	text_string	evar226	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 227	text_string	evar227	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 228	text_string	evar228	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 229	text_string	evar229	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 230	text_string	evar230	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 231	text_string	evar231	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 232	text_string	evar232	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 233	text_string	evar233	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 234	text_string	evar234	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 235	text_string	evar235	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 236	text_string	evar236	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 237	text_string	evar237	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 238	text_string	evar238	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 239	text_string	evar239	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 240	text_string	evar240	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 241	text_string	evar241	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 242	text_string	evar242	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 243	text_string	evar243	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 244	text_string	evar244	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 245	text_string	evar245	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 246	text_string	evar246	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 247	text_string	evar247	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 248	text_string	evar248	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 249	text_string	evar249	visit	1	most_recent_last		FALSE		sirooplive
Custom eVar 250	text_string	evar250	visit	1	most_recent_last		FALSE		sirooplive
