id	name	description	type	default_metric	participation	serialization	polarity	visibility
event82	Wishlist Remove (E82)	"User removes product from wishlist
"	counter	FALSE	disabled	always_record	negative	everywhere
event83	Cart Add from Wishlist (E83)	User adds product from wishlist to cart	counter	FALSE	disabled	always_record	positive	everywhere
event84	Custom 84		disabled	FALSE	disabled	always_record	positive	everywhere
event85	Page Load Time: Response from Server (E85)	"Time from ""request is sent"" to ""last byte of response has been received"""	numeric	FALSE	disabled	always_record	negative	everywhere
event86	Page Load Time: DOM Ready (E86)	"Time from ""browser is ready to fetch document"" to ""document has loaded"""	numeric	FALSE	disabled	always_record	negative	everywhere
event87	Page Load Time: Load Complete (E87)	"Time from ""browser is ready to fetch document"" to ""page with all resources has loaded"""	numeric	FALSE	disabled	always_record	negative	everywhere
event88	Custom 88		disabled	FALSE	disabled	always_record	positive	everywhere
event89	Custom 89		disabled	FALSE	disabled	always_record	positive	everywhere
event90	Custom 90		disabled	FALSE	disabled	always_record	positive	everywhere
event91	Custom 91		disabled	FALSE	disabled	always_record	positive	everywhere
event92	Custom 92		disabled	FALSE	disabled	always_record	positive	everywhere
event93	Custom 93		disabled	FALSE	disabled	always_record	positive	everywhere
event94	Custom 94		disabled	FALSE	disabled	always_record	positive	everywhere
event95	Success Event 95		disabled	FALSE	disabled	always_record	positive	everywhere
event96	Success Event 96		disabled	FALSE	disabled	always_record	positive	everywhere
event97	Test Counter Event (E97)	"Test Event for Counter Values
"	counter	FALSE	disabled	always_record	positive	everywhere
event98	Test Numeric Event (E98)	"Test Event for Numeric Values
"	numeric	FALSE	disabled	always_record	positive	everywhere
event99	Test Currency Event (E99)	"Test Event for Currency Values
"	currency	FALSE	disabled	always_record	positive	everywhere
event100	Data Source Import Event (E100)	Is set whenever a Full Processing Data Source Import is made. Used to easily filter out these Hits	counter	FALSE	disabled	always_record	positive	2
event101	Custom 101		disabled	FALSE	disabled	always_record	positive	everywhere
event102	Custom 102		disabled	FALSE	disabled	always_record	positive	everywhere
event103	Custom 103		disabled	FALSE	disabled	always_record	positive	everywhere
event104	Custom 104		disabled	FALSE	disabled	always_record	positive	everywhere
event105	Custom 105		disabled	FALSE	disabled	always_record	positive	everywhere
event106	Custom 106		disabled	FALSE	disabled	always_record	positive	everywhere
event107	Custom 107		disabled	FALSE	disabled	always_record	positive	everywhere
event108	Custom 108		disabled	FALSE	disabled	always_record	positive	everywhere
event109	Custom 109		disabled	FALSE	disabled	always_record	positive	everywhere
